model,games,brier,log_loss,auc
gold,1515,0.16050130636355273,0.48550497535458786,0.842133693691124
state,1515,0.1582870062697267,0.48001159628964296,0.8455280929323759
trajectory,1515,0.16014488507375996,0.4840182369105491,0.84248489991514
strength,1515,0.15523222735023473,0.471791396272714,0.8517963217833431
full,1515,0.1571798168625402,0.4761752439674242,0.8484750162232316
