trajectory,n,win_rate,mean_gold,mean_velocity
Growing (>500g gained),1967,0.7361464158617184,2050.625826131164,1586.0889679715303
Shrinking (>500g lost),425,0.6517647058823529,1799.7670588235294,-1219.3647058823528
Stable (within 500g),828,0.6618357487922706,1875.542270531401,47.84057971014493
