gold_diff,win_probability,checkpoint
-4446.785,0.031020015668108383,10 min
-4431.937637729549,0.03136737023760314,10 min
-4417.090275459098,0.03171848680511434,10 min
-4402.242913188647,0.03207340324419053,10 min
-4387.395550918197,0.032432157745072895,10 min
-4372.548188647746,0.032794788815853015,10 min
-4357.700826377295,0.03316133528359634,10 min
-4342.8534641068445,0.03353183629542959,10 min
-4328.006101836394,0.033906331319591115,10 min
-4313.1587395659435,0.034284860146443,10 min
-4298.311377295492,0.03466746288944347,10 min
-4283.464015025042,0.03505417998607843,10 min
-4268.616652754591,0.035445052198750965,10 min
-4253.76929048414,0.03584012061562704,10 min
-4238.921928213689,0.03623942665143633,10 min
-4224.074565943239,0.03664301204822709,10 min
-4209.227203672788,0.03705091887607291,10 min
-4194.379841402337,0.03746318953373047,10 min
-4179.532479131886,0.03787986674924666,10 min
-4164.685116861436,0.03830099358051377,10 min
-4149.837754590985,0.03872661341577091,10 min
-4134.990392320534,0.039156769974050265,10 min
-4120.143030050083,0.039591507305566716,10 min
-4105.295667779633,0.04003086979204927,10 min
-4090.448305509182,0.040474902147012326,10 min
-4075.600943238731,0.04092364941596571,10 min
-4060.7535809682804,0.04137715697656119,10 min
-4045.9062186978294,0.041835470538674376,10 min
-4031.058856427379,0.042298636144419755,10 min
-4016.211494156928,0.042766700168097735,10 min
-4001.3641318864775,0.04323970931607107,10 min
-3986.5167696160265,0.04371771062656993,10 min
-3971.669407345576,0.04420075146942267,10 min
-3956.822045075125,0.044688879545711595,10 min
-3941.9746828046746,0.04518214288735092,10 min
-3927.1273205342236,0.045680589856585505,10 min
-3912.2799582637726,0.04618426914540831,10 min
-3897.432595993322,0.04669322977489479,10 min
-3882.585233722871,0.04720752109445192,10 min
-3867.7378714524207,0.04772719278098024,10 min
-3852.8905091819697,0.048252294837946665,10 min
-3838.043146911519,0.04878287759436594,10 min
-3823.1957846410683,0.049318991703689155,10 min
-3808.3484223706178,0.04986068814259646,10 min
-3793.501060100167,0.050408018209692665,10 min
-3778.6536978297163,0.05096103352410281,10 min
-3763.8063355592653,0.051519786023966355,10 min
-3748.9589732888144,0.052084327964827176,10 min
-3734.111611018364,0.05265471191791726,10 min
-3719.2642487479134,0.05323099076833223,10 min
-3704.4168864774624,0.05381321771309613,10 min
-3689.5695242070115,0.05440144625911311,10 min
-3674.722161936561,0.054995730221004006,10 min
-3659.87479966611,0.055596123718825566,10 min
-3645.0274373956595,0.05620268117566925,10 min
-3630.1800751252085,0.05681545731513854,10 min
-3615.332712854758,0.05743450715870098,10 min
-3600.485350584307,0.05805988602291366,10 min
-3585.637988313856,0.058691649516519076,10 min
-3570.7906260434056,0.0593298535374094,10 min
-3555.943263772955,0.059974554269456276,10 min
-3541.095901502504,0.06062580817920411,10 min
-3526.248539232053,0.061283672012424004,10 min
-3511.4011769616027,0.06194820279052625,10 min
-3496.5538146911517,0.06261945780682884,10 min
-3481.706452420701,0.06329749462267867,10 min
-3466.8590901502503,0.06398237106342466,10 min
-3452.0117278797998,0.06467414521423817,10 min
-3437.164365609349,0.06537287541578007,10 min
-3422.317003338898,0.06607862025971076,10 min
-3407.4696410684473,0.06679143858404071,10 min
-3392.622278797997,0.06751138946831989,10 min
-3377.774916527546,0.06823853222866215,10 min
-3362.927554257095,0.0689729264126033,10 min
-3348.0801919866444,0.06971463179378944,10 min
-3333.232829716194,0.07046370836649343,10 min
-3318.3854674457425,0.07122021633995712,10 min
-3303.538105175292,0.07198421613255598,10 min
-3288.6907429048415,0.07275576836578487,10 min
-3273.8433806343905,0.07353493385806134,10 min
-3258.9960183639396,0.07432177361834422,10 min
-3244.148656093489,0.07511634883956561,10 min
-3229.3012938230386,0.07591872089187301,10 min
-3214.4539315525876,0.07672895131567925,10 min
-3199.6065692821367,0.07754710181451827,10 min
-3184.759207011686,0.07837323424770398,10 min
-3169.9118447412357,0.07920741062278946,10 min
-3155.0644824707847,0.08004969308782492,10 min
-3140.2171202003337,0.08090014392341102,10 min
-3125.3697579298832,0.08175882553454625,10 min
-3110.5223956594323,0.08262580044226568,10 min
-3095.6750333889813,0.08350113127506818,10 min
-3080.827671118531,0.08438488076013079,10 min
-3065.9803088480803,0.08527711171430787,10 min
-3051.1329465776294,0.08617788703491239,10 min
-3036.2855843071784,0.0870872696902773,10 min
-3021.438222036728,0.08800532271009598,10 min
-3006.5908597662774,0.08893210917553801,10 min
-2991.7434974958264,0.08986769220913991,10 min
-2976.8961352253755,0.09081213496446774,10 min
-2962.048772954925,0.09176550061555037,10 min
-2947.201410684474,0.0927278523460818,10 min
-2932.354048414023,0.09369925333838976,10 min
-2917.5066861435726,0.09467976676217008,10 min
-2902.659323873122,0.09566945576298494,10 min
-2887.811961602671,0.09666838345052264,10 min
-2872.96459933222,0.09767661288661877,10 min
-2858.1172370617696,0.09869420707303624,10 min
-2843.269874791319,0.09972122893900388,10 min
-2828.422512520868,0.10075774132851142,10 min
-2813.575150250417,0.1018038069873605,10 min
-2798.7277879799667,0.1028594885499704,10 min
-2783.8804257095157,0.10392484852593764,10 min
-2769.033063439065,0.10499994928634837,10 min
-2754.1857011686143,0.10608485304984339,10 min
-2739.338338898164,0.10717962186843433,10 min
-2724.490976627713,0.10828431761307188,10 min
-2709.643614357262,0.10939900195896353,10 min
-2694.7962520868114,0.11052373637064325,10 min
-2679.948889816361,0.11165858208679047,10 min
-2665.10152754591,0.11280360010480019,10 min
-2650.254165275459,0.11395885116510299,10 min
-2635.4068030050084,0.11512439573523628,10 min
-2620.5594407345575,0.11630029399366631,10 min
-2605.7120784641065,0.11748660581336223,10 min
-2590.864716193656,0.11868339074512224,10 min
-2576.0173539232055,0.11989070800065299,10 min
-2561.1699916527546,0.12110861643540326,10 min
-2546.3226293823036,0.12233717453115286,10 min
-2531.475267111853,0.12357644037835809,10 min
-2516.6279048414026,0.12482647165825558,10 min
-2501.7805425709516,0.12608732562472585,10 min
