bin,predicted,observed,games
"(-0.001, 0.125]",0.061016830998088835,0.0847457627118644,177
"(0.125, 0.25]",0.18438168009407377,0.18471337579617833,157
"(0.25, 0.375]",0.3139681889273524,0.3333333333333333,168
"(0.375, 0.5]",0.44032314581889503,0.5570469798657718,149
"(0.5, 0.625]",0.5607718627592884,0.5804195804195804,143
"(0.625, 0.75]",0.6895177988132397,0.6894736842105263,190
"(0.75, 0.875]",0.8135854262954468,0.8114035087719298,228
"(0.875, 1.0]",0.9446925912400438,0.9537953795379538,303
